,CellLabel,NodeLabelLobe,NodeLabelNeck1,NodeLabelNeck2,LobeLength,NeckWidth
0,1.0,17.0,13.0,28.0,5.851285414334187,18.422706342988807
1,1.0,41.0,28.0,42.0,1.547,20.141334265633944
2,1.0,44.0,42.0,53.0,3.597619351738035,13.766011768119334
3,1.0,57.0,53.0,63.0,5.215787284773029,10.740690946117015
4,1.0,67.0,63.0,70.0,2.577280737521623,8.949817875241932
5,1.0,77.0,70.0,79.0,2.3073077384692318,13.29678231753833
6,1.0,0.0,79.0,13.0,12.627979450410901,14.833364587982055
7,2.0,11.0,5.0,14.0,4.846908396080949,5.0492575691877715
8,2.0,0.0,14.0,5.0,6.239092642363952,5.0492575691877715
9,3.0,6.0,4.0,18.0,2.881487463099571,19.06885536680165
10,3.0,24.0,18.0,26.0,2.187788380991178,13.130450487321447
11,3.0,39.0,26.0,54.0,18.492827852981275,14.579301492184047
12,3.0,59.0,54.0,62.0,3.5635179247479587,10.720208626701254
13,3.0,67.0,62.0,69.0,2.0375193250617283,8.941628319271608
14,3.0,73.0,69.0,74.0,0.884,7.959068852573146
15,3.0,0.0,74.0,4.0,5.1592969482285085,18.151622131368864
16,4.0,27.0,20.0,28.0,1.3442905191959065,12.282908816725783
17,4.0,41.0,28.0,45.0,6.068452356243724,20.5339804470541
18,4.0,47.0,45.0,65.0,3.101882815323622,26.086426604653997
19,4.0,2.0,65.0,20.0,26.34724146851051,9.574683127916035
20,5.0,6.0,5.0,9.0,0.988342046054907,6.328476909968148
21,5.0,14.0,9.0,16.0,3.217808571061989,8.386360354766541
22,5.0,20.0,16.0,27.0,7.425731546453857,9.945
23,5.0,0.0,27.0,5.0,8.13207931589455,11.096312946199742
24,6.0,20.0,16.0,21.0,0.937623591853362,8.77344949264541
25,6.0,37.0,21.0,56.0,23.003117049652204,12.50164789137816
26,6.0,64.0,56.0,65.0,1.3442905191959065,13.136028813914805
27,6.0,71.0,65.0,75.0,4.892043540280483,12.722384760727842
28,6.0,1.0,75.0,16.0,18.224126865230062,17.03421207452813
29,7.0,22.0,15.0,24.0,2.9650261381647214,11.669134843680572
30,7.0,28.0,24.0,32.0,3.7764496554303486,11.781600994771466
31,7.0,43.0,32.0,44.0,1.547,17.509282024115095
32,7.0,47.0,44.0,64.0,5.647404093917842,25.280120351770478
33,7.0,80.0,64.0,82.0,3.9347931330630335,21.4779711565129
34,7.0,87.0,82.0,90.0,3.315,10.610301833595498
35,7.0,0.0,90.0,15.0,7.731842212564868,21.603809756614687
36,8.0,9.0,5.0,13.0,5.525,5.950607111883627
37,8.0,14.0,13.0,16.0,1.3977267257944237,4.892043540280483
38,8.0,1.0,16.0,5.0,5.039575378938189,5.215787284773029
39,9.0,3.0,1.0,14.0,3.12541197284454,17.408572744484253
40,9.0,25.0,14.0,30.0,8.22464497714035,16.283666325493165
41,9.0,34.0,30.0,36.0,2.0375193250617283,9.347542404290017
42,9.0,39.0,36.0,49.0,4.4420450245354335,18.065313780834252
43,9.0,0.0,49.0,1.0,1.4150904564726596,20.1692014963409
44,10.0,5.0,4.0,6.0,0.663,3.3223584996204125
45,10.0,12.0,6.0,17.0,8.697971545136257,5.733235822814199
46,10.0,0.0,17.0,4.0,6.223416505425296,5.345276887121938
47,11.0,32.0,15.0,49.0,23.02858176267049,9.769099958542752
48,11.0,55.0,49.0,56.0,0.988342046054907,10.575721724780772
49,11.0,0.0,56.0,15.0,22.061291100024043,15.776366375056078
50,12.0,5.0,4.0,12.0,1.3977267257944237,13.210181414348556
51,12.0,15.0,12.0,17.0,1.56270598642227,8.150077300246913
52,12.0,19.0,17.0,23.0,1.8882248277151743,9.92779623078556
53,12.0,36.0,23.0,50.0,19.84698125660424,14.034805057427766
54,12.0,66.0,50.0,4.0,11.744231945938399,21.96032864052813
55,13.0,5.0,4.0,13.0,1.4150904564726596,15.160664431349966
56,13.0,18.0,13.0,19.0,1.4825130690823607,10.098515138375543
57,13.0,27.0,19.0,38.0,12.472312736617857,14.008680808698584
58,13.0,42.0,38.0,43.0,0.7968268318775416,8.221675255080317
59,13.0,0.0,43.0,4.0,6.036173125416467,19.61802946271618
60,14.0,13.0,7.0,14.0,1.56270598642227,10.351673970909246
61,14.0,16.0,14.0,24.0,2.21,12.332512882620476
62,14.0,0.0,24.0,7.0,9.883420460549072,13.089470119145389
63,15.0,27.0,15.0,42.0,21.748017013052017,9.149506762662128
64,15.0,0.0,42.0,15.0,23.205000000000002,9.149506762662128
65,16.0,25.0,13.0,37.0,18.390865259688027,12.136904712487448
66,16.0,40.0,37.0,42.0,1.105,8.801240026269026
67,16.0,51.0,42.0,52.0,1.56270598642227,16.037353459969633
68,16.0,56.0,52.0,13.0,6.374614655020332,20.104927654682076
69,17.0,25.0,15.0,32.0,10.790595164308593,16.733363469428376
70,17.0,39.0,32.0,47.0,10.283032869732548,15.659842304442277
71,17.0,3.0,47.0,15.0,16.37489206071295,17.485555753249592
72,18.0,9.0,4.0,11.0,3.7764496554303486,8.386360354766541
73,18.0,15.0,11.0,21.0,218.03831327773565,9.061
74,18.0,27.0,21.0,4.0,7.215573851053013,10.216321108892378
75,19.0,4.0,2.0,17.0,3.0781738092576902,20.693909442152297
76,19.0,18.0,17.0,22.0,1.1268833125040054,8.251324378546757
77,19.0,33.0,22.0,35.0,3.3223584996204125,17.935072511701758
78,19.0,39.0,35.0,49.0,6.144435938310367,20.333201051482277
79,19.0,51.0,49.0,58.0,2.2210225122677167,14.159530536002952
80,19.0,66.0,58.0,69.0,4.075038650123457,14.694422785533291
81,19.0,0.0,69.0,2.0,1.7817589623739793,8.22464497714035
82,20.0,10.0,9.0,11.0,41.09946453422477,3.315
83,20.0,15.0,11.0,17.0,2.0965900886916353,9.653425713185968
84,20.0,23.0,17.0,26.0,3.1410001591849688,12.735814108253935
85,20.0,28.0,26.0,31.0,1.326,8.004960462113477
86,20.0,32.0,31.0,36.0,1.105,7.127035849495917
87,20.0,44.0,36.0,46.0,2.7954534515888474,13.09133564614398
88,20.0,50.0,46.0,63.0,6.328476909968148,20.85612490373032
89,20.0,69.0,63.0,70.0,1.1901214223767254,10.280657761057899
90,20.0,83.0,70.0,9.0,17.90645595867591,13.488243955385741
91,21.0,2.0,1.0,11.0,1.2886403687608114,15.160664431349966
92,21.0,21.0,11.0,38.0,16.443350510160634,14.720988995308705
93,21.0,49.0,38.0,62.0,15.993133432820473,18.030133000064087
94,21.0,0.0,62.0,1.0,0.911206343261503,8.697971545136257
95,22.0,6.0,3.0,8.0,2.7336190297845087,7.671597291307724
96,22.0,9.0,8.0,12.0,1.1268833125040054,6.66306753680315
97,22.0,14.0,12.0,16.0,1.593653663755083,6.374614655020332
98,22.0,18.0,16.0,19.0,1.105,4.550668522316254
99,22.0,0.0,19.0,3.0,1.1268833125040054,6.5035610245464754
100,23.0,15.0,8.0,23.0,11.376671305790635,8.71760265210568
101,23.0,26.0,23.0,28.0,1.683085856395924,7.319738861462205
102,23.0,33.0,28.0,35.0,2.9485077581719197,10.100933075711373
103,23.0,0.0,35.0,8.0,3.984134159387708,10.849276934432082
104,24.0,5.0,2.0,8.0,3.187307327510166,8.45884537038005
105,24.0,10.0,8.0,12.0,1.7260651783753704,5.4717029341878565
106,24.0,13.0,12.0,15.0,0.937623591853362,5.34984354911431
107,24.0,0.0,15.0,2.0,3.164238454984074,8.41542928197962
108,25.0,6.0,3.0,13.0,3.494316814486059,14.592695432989753
109,25.0,17.0,13.0,18.0,0.7968268318775416,9.101337044632508
110,25.0,22.0,18.0,24.0,2.253766625008011,9.541468650055922
111,25.0,30.0,24.0,43.0,8.31911635932567,16.21603971381422
112,25.0,50.0,43.0,52.0,2.586738680269037,12.235099713529106
113,25.0,56.0,52.0,58.0,2.3073077384692318,9.112063432615031
114,25.0,65.0,58.0,69.0,5.577787823142791,12.393746205243998
115,25.0,0.0,69.0,3.0,1.989,7.763362287050631
116,26.0,4.0,2.0,7.0,3.373418592466698,4.745071232342039
117,26.0,9.0,7.0,2.0,3.459197161192175,4.745071232342039
118,27.0,22.0,10.0,24.0,3.0781738092576902,19.659064906551382
119,27.0,29.0,24.0,35.0,5.154561475043246,15.50941407661811
120,27.0,36.0,35.0,43.0,1.3977267257944237,12.726223163216964
121,27.0,48.0,43.0,52.0,4.193180177383271,13.14160477262956
122,27.0,62.0,52.0,67.0,8.41542928197962,17.742047373400847
123,27.0,70.0,67.0,10.0,5.381701682553577,19.499414991224736
124,28.0,5.0,3.0,9.0,2.176597574196939,9.200078967052404
125,28.0,14.0,9.0,16.0,3.7046350697470865,10.83801665435148
126,28.0,19.0,16.0,21.0,1.976684092109814,6.936020833302045
127,28.0,25.0,21.0,32.0,4.724440390141461,14.78719571115497
128,28.0,35.0,32.0,36.0,0.4941710230274535,6.363111581608482
129,28.0,39.0,36.0,43.0,2.176597574196939,11.962613844808333
130,28.0,48.0,43.0,50.0,2.9068011627904653,11.098513504068912
131,28.0,52.0,50.0,57.0,2.688581038391813,10.4034444296108
132,28.0,0.0,57.0,3.0,4.204811767487339,14.627796177141654
133,29.0,4.0,3.0,9.0,1.593653663755083,8.996084537175047
134,29.0,12.0,9.0,14.0,1.7260651783753704,7.34638040125884
135,29.0,16.0,14.0,20.0,2.21,8.84
136,29.0,0.0,20.0,3.0,3.763494386869735,8.756732838222256
137,30.0,12.0,8.0,13.0,1.4150904564726596,8.31911635932567
138,30.0,22.0,13.0,34.0,13.718030944709229,13.709127178635407
139,30.0,47.0,34.0,48.0,1.56270598642227,18.76288698468335
140,30.0,50.0,48.0,53.0,1.683085856395924,7.813529932111351
141,30.0,55.0,53.0,56.0,0.442,4.770734325027961
142,30.0,0.0,56.0,8.0,1.4150904564726596,15.223355247776361
143,31.0,10.0,6.0,11.0,1.768,7.517249297449168
144,31.0,13.0,11.0,17.0,2.586738680269037,8.949817875241932
145,31.0,23.0,17.0,6.0,9.389249437521617,9.686256294358518
146,32.0,10.0,7.0,23.0,4.474908937620966,21.664764249813565
147,32.0,34.0,23.0,38.0,6.203765630647244,18.831741847211052
148,32.0,39.0,38.0,51.0,1.4150904564726596,19.848211657476853
149,32.0,64.0,51.0,66.0,3.373418592466698,20.41111780378527
150,32.0,0.0,66.0,7.0,7.140728534260352,16.627955406483384
151,33.0,24.0,14.0,26.0,2.9485077581719197,17.078596312343706
152,33.0,34.0,26.0,48.0,14.534005813952326,19.53944976195594
153,33.0,52.0,48.0,58.0,4.598712102317344,14.055669496683535
154,33.0,77.0,58.0,14.0,21.886811736751426,11.880677169252602
155,34.0,8.0,5.0,14.0,4.29104381240742,4.770734325027961
156,34.0,1.0,14.0,5.0,6.378444402830521,4.770734325027961
157,35.0,5.0,4.0,17.0,1.7260651783753704,20.60521324810787
158,35.0,30.0,17.0,33.0,6.096556487067105,18.914553259329175
159,35.0,42.0,33.0,52.0,12.722384760727842,14.267770954146972
160,35.0,57.0,52.0,63.0,4.6985244492287155,14.407437315497853
161,35.0,71.0,63.0,74.0,3.763494386869735,15.49050783544555
162,35.0,0.0,74.0,4.0,5.834567421840286,16.313632612021152
163,36.0,6.0,4.0,7.0,0.6988633628972118,5.039575378938189
164,36.0,8.0,7.0,9.0,0.442,3.6582009239515534
165,36.0,10.0,9.0,13.0,1.1268833125040054,6.25082394568908
166,36.0,17.0,13.0,20.0,3.315,9.0177749472916
167,36.0,21.0,20.0,25.0,1.2886403687608114,7.0754522823632975
168,36.0,1.0,25.0,4.0,4.4420450245354335,8.203834347425598
169,37.0,5.0,4.0,6.0,0.6988633628972118,3.4308426078734655
170,37.0,10.0,6.0,13.0,4.42,8.179985941308212
171,37.0,0.0,13.0,4.0,5.458297353570983,7.922164161389235
172,38.0,28.0,14.0,32.0,7.047786673843073,20.831521427874634
173,38.0,34.0,32.0,35.0,0.442,4.966357316987975
174,38.0,37.0,35.0,40.0,1.250164789137816,8.630325891876852
175,38.0,42.0,40.0,46.0,1.6089042855309945,9.276736602922387
176,38.0,51.0,46.0,63.0,7.0512508110263665,19.984315274734836
177,38.0,77.0,63.0,81.0,6.378444402830521,21.226356847089892
178,38.0,0.0,81.0,14.0,1.7817589623739793,21.27232627147299
179,39.0,12.0,6.0,13.0,1.593653663755083,11.787817652135615
180,39.0,16.0,13.0,18.0,2.176597574196939,6.91839432238435
181,39.0,21.0,18.0,28.0,4.941710230274536,12.558168218335028
182,39.0,32.0,28.0,33.0,0.7968268318775416,9.197424204634688
183,39.0,40.0,33.0,6.0,10.358748814408042,13.783740058489206
184,40.0,9.0,6.0,11.0,2.4410247847983846,7.127035849495917
185,40.0,12.0,11.0,17.0,0.937623591853362,9.686256294358518
186,40.0,20.0,17.0,23.0,2.0375193250617283,9.595065658972846
187,40.0,29.0,23.0,33.0,3.750494367413448,13.596440159100469
188,40.0,36.0,33.0,45.0,4.353195148393878,15.023124209031888
189,40.0,5.0,45.0,6.0,1.6089042855309945,14.752474233158315
190,41.0,22.0,8.0,35.0,18.602109692182765,16.13148623035088
191,41.0,47.0,35.0,55.0,11.72133665585969,15.925806510189679
192,41.0,59.0,55.0,61.0,1.593653663755083,10.175604158967662
193,41.0,64.0,61.0,66.0,1.683085856395924,7.897465226260891
194,41.0,71.0,66.0,74.0,3.366171712791848,10.424549150922548
195,41.0,75.0,74.0,76.0,0.221,3.217808571061989
196,41.0,0.0,76.0,8.0,1.7260651783753704,14.885953681239238
197,42.0,5.0,4.0,6.0,21.722175328451797,3.094
198,42.0,7.0,6.0,11.0,1.250164789137816,8.28381584778416
199,42.0,14.0,11.0,15.0,1.105,7.171441486897875
200,42.0,20.0,15.0,24.0,4.5560317163075155,10.667686253354098
201,42.0,25.0,24.0,29.0,1.105,9.0177749472916
202,42.0,0.0,29.0,4.0,6.443201843804057,14.866254572016452
203,43.0,10.0,5.0,11.0,1.683085856395924,9.993990444261993
204,43.0,13.0,11.0,17.0,1.822412686523006,8.58208762481484
205,43.0,19.0,17.0,21.0,1.56270598642227,5.946501828806579
206,43.0,28.0,21.0,5.0,9.945,12.155
207,44.0,6.0,5.0,16.0,1.4150904564726596,19.088055427413238
208,44.0,21.0,16.0,24.0,3.8595990724426286,12.829425941950793
209,44.0,30.0,24.0,32.0,2.7954534515888474,10.71109280139053
210,44.0,35.0,32.0,48.0,4.846908396080949,21.886811736751426
211,44.0,0.0,48.0,5.0,7.888183187528039,21.110995357869793
212,45.0,11.0,6.0,12.0,0.988342046054907,10.180402840752421
213,45.0,14.0,12.0,19.0,2.4410247847983846,11.129275627820528
214,45.0,28.0,19.0,40.0,13.789054100988944,14.887594097099772
215,45.0,55.0,40.0,63.0,13.522599750048066,19.850672230430888
216,45.0,0.0,63.0,6.0,1.3977267257944237,11.268833125040054
217,46.0,2.0,1.0,7.0,1.250164789137816,10.389350797812153
218,46.0,12.0,7.0,13.0,1.683085856395924,10.795120471768715
219,46.0,15.0,13.0,19.0,1.9011138840164206,9.020482581325679
220,46.0,20.0,19.0,25.0,1.105,10.168401890169369
221,46.0,32.0,25.0,34.0,3.0781738092576902,12.682011394096758
222,46.0,35.0,34.0,1.0,0.911206343261503,8.10801985690711
223,47.0,8.0,5.0,15.0,4.152213024400361,13.8367886447687
224,47.0,22.0,15.0,31.0,8.630325891876852,18.649309933614166
225,47.0,33.0,31.0,38.0,1.7260651783753704,11.290483160609204
226,47.0,49.0,38.0,59.0,13.767785624420508,14.048718126576532
227,47.0,62.0,59.0,68.0,3.005924982430533,13.010876450108963
228,47.0,3.0,68.0,5.0,3.5428995187557892,19.49315213094075
229,48.0,3.0,2.0,7.0,1.105,9.149506762662128
230,48.0,8.0,7.0,9.0,0.7968268318775416,3.570364267130176
231,48.0,16.0,9.0,22.0,9.015066500032043,12.789390485867575
232,48.0,23.0,22.0,24.0,0.4941710230274535,3.2630258963115817
233,48.0,29.0,24.0,2.0,3.802227768032841,9.86858419430062
234,49.0,19.0,13.0,20.0,1.3442905191959065,11.105112561338583
235,49.0,27.0,20.0,28.0,1.3442905191959065,12.370078940734373
236,49.0,29.0,28.0,41.0,1.250164789137816,20.188564708765206
237,49.0,48.0,41.0,56.0,9.883420460549072,15.260206027442749
238,49.0,60.0,56.0,62.0,2.0375193250617283,9.069081761677971
239,49.0,4.0,62.0,13.0,11.536538692346157,15.338418986323202
240,50.0,11.0,5.0,12.0,1.56270598642227,10.938941904955891
241,50.0,17.0,12.0,23.0,6.907796826774801,14.473391067749121
242,50.0,28.0,23.0,31.0,3.005924982430533,10.874008506526009
243,50.0,32.0,31.0,38.0,1.105,11.84568246239954
244,50.0,53.0,38.0,58.0,8.251324378546757,18.960975739660658
245,50.0,0.0,58.0,5.0,3.3223584996204125,10.389350797812153
246,51.0,20.0,15.0,25.0,5.458297353570983,11.462211392222708
247,51.0,33.0,25.0,36.0,4.447539207247082,14.235213697026117
248,51.0,39.0,36.0,42.0,1.3977267257944237,9.574683127916035
249,51.0,44.0,42.0,46.0,1.593653663755083,5.884578914416902
250,51.0,53.0,46.0,61.0,7.785350409583373,21.330793609240143
251,51.0,68.0,61.0,73.0,5.271672315309441,16.06017811233736
252,51.0,4.0,73.0,15.0,12.425232432433608,18.569261159238405
253,52.0,10.0,4.0,14.0,4.598712102317344,13.180570435303625
254,52.0,19.0,14.0,23.0,4.770734325027961,12.829425941950793
255,52.0,26.0,23.0,38.0,5.039575378938189,17.824441225463424
256,52.0,45.0,38.0,47.0,29.771907362478476,13.039
257,52.0,51.0,47.0,52.0,0.7968268318775416,8.644462389298711
258,52.0,56.0,52.0,4.0,6.080512889551341,22.71574707113988
259,53.0,14.0,13.0,19.0,1.250164789137816,8.84
260,53.0,31.0,19.0,33.0,3.3806499375120165,17.85865980413984
261,53.0,36.0,33.0,39.0,1.976684092109814,10.006200577641847
262,53.0,40.0,39.0,50.0,1.6089042855309945,15.408312723981169
263,53.0,61.0,50.0,62.0,1.3977267257944237,17.425398044234168
264,53.0,2.0,62.0,13.0,8.91975274320987,19.105958075951072
265,54.0,6.0,4.0,16.0,3.070230121668407,17.408572744484253
266,54.0,18.0,16.0,24.0,3.0781738092576902,10.480620640019369
267,54.0,41.0,24.0,57.0,24.851447543352478,11.627204651161861
268,54.0,66.0,57.0,72.0,7.543193289317197,16.79745388444332
269,54.0,74.0,72.0,76.0,1.593653663755083,5.762974926199142
270,54.0,83.0,76.0,88.0,5.946501828806579,14.380291860737737
271,54.0,0.0,88.0,4.0,3.9161299774139264,8.596303449739311
272,55.0,9.0,4.0,13.0,4.222199071573959,11.122690906430872
273,55.0,18.0,13.0,19.0,1.105,11.359485991892415
274,55.0,20.0,19.0,23.0,0.442,6.710544091204527
275,55.0,25.0,23.0,31.0,2.176597574196939,10.626400707671436
276,55.0,37.0,31.0,40.0,3.597619351738035,11.5640242995248
277,55.0,44.0,40.0,45.0,0.442,8.31911635932567
278,55.0,46.0,45.0,52.0,1.56270598642227,10.610301833595498
279,55.0,57.0,52.0,58.0,0.937623591853362,10.783803642500173
280,55.0,64.0,58.0,65.0,0.911206343261503,11.227583043558395
281,55.0,66.0,65.0,71.0,1.326,9.157510414954492
282,55.0,0.0,71.0,4.0,3.763494386869735,9.324000214500213
283,56.0,10.0,5.0,18.0,7.813529932111351,6.140460243336814
284,56.0,19.0,18.0,20.0,0.625082394568908,2.9732509144032897
285,56.0,0.0,20.0,5.0,7.922164161389235,5.950607111883627
286,57.0,8.0,3.0,14.0,8.502039755258734,5.733235822814199
287,57.0,20.0,14.0,3.0,6.91839432238435,5.733235822814199
288,58.0,9.0,6.0,11.0,1.976684092109814,7.610875508113373
289,58.0,15.0,11.0,16.0,1.250164789137816,8.044521427654972
290,58.0,18.0,16.0,20.0,1.56270598642227,6.593063779457924
291,58.0,23.0,20.0,31.0,3.757,14.138819363723409
292,58.0,33.0,31.0,37.0,1.9011138840164206,9.197424204634688
293,58.0,41.0,37.0,42.0,0.7968268318775416,7.785350409583373
294,58.0,48.0,42.0,50.0,2.6611924019130972,12.886403687608114
295,58.0,52.0,50.0,6.0,3.344336855043164,16.47450870284149
296,59.0,5.0,3.0,8.0,3.6582009239515534,3.8595990724426286
297,59.0,0.0,8.0,3.0,3.570364267130176,3.8595990724426286
298,60.0,36.0,14.0,44.0,10.052463827341038,20.967065626834863
299,60.0,49.0,44.0,63.0,8.40090739146671,20.953084474606598
300,60.0,79.0,63.0,89.0,13.908961176162654,20.005078205295774
301,60.0,97.0,89.0,98.0,1.105,14.95632909506875
302,60.0,0.0,98.0,14.0,1.7260651783753704,22.409443589701194
303,61.0,11.0,6.0,19.0,7.514,5.538244126074617
304,61.0,0.0,19.0,6.0,9.895767024339245,5.538244126074617
305,62.0,11.0,10.0,19.0,1.4150904564726596,14.365
306,62.0,21.0,19.0,24.0,9.505569420082104,7.514
307,62.0,31.0,24.0,32.0,1.56270598642227,11.662854924931546
308,62.0,35.0,32.0,40.0,3.0781738092576902,13.210181414348556
309,62.0,41.0,40.0,47.0,1.547,10.445611231517283
310,62.0,7.0,47.0,10.0,4.447539207247082,18.976424663249922
311,63.0,6.0,1.0,7.0,1.4825130690823607,9.492715364952222
312,63.0,10.0,7.0,15.0,4.245271369417979,8.84
313,63.0,22.0,15.0,1.0,9.62809524257005,9.410033634371345
314,64.0,17.0,6.0,20.0,4.152213024400361,19.773017094009706
315,64.0,24.0,20.0,29.0,4.245271369417979,11.771232603257825
316,64.0,32.0,29.0,37.0,3.5635179247479587,12.425232432433608
317,64.0,42.0,37.0,43.0,1.1268833125040054,9.492715364952222
318,64.0,48.0,43.0,51.0,3.2630258963115817,13.267364621506413
319,64.0,56.0,51.0,60.0,4.6985244492287155,10.83801665435148
320,64.0,0.0,60.0,6.0,1.8882248277151743,11.536538692346157
321,65.0,17.0,12.0,22.0,4.245271369417979,13.497293432388583
322,65.0,34.0,22.0,36.0,3.984134159387708,18.951958051874218
323,65.0,37.0,36.0,54.0,1.683085856395924,24.619439676808245
324,65.0,64.0,54.0,65.0,1.56270598642227,16.207001511692408
325,65.0,66.0,65.0,69.0,0.442,6.854563589317704
326,65.0,76.0,69.0,77.0,1.3442905191959065,12.534811406638713
327,65.0,83.0,77.0,86.0,3.315,12.565944174633279
328,65.0,0.0,86.0,12.0,6.681367674361291,20.717497628816083
329,66.0,10.0,7.0,11.0,0.988342046054907,6.854563589317704
330,66.0,16.0,11.0,23.0,6.808091435931218,12.999609994149823
331,66.0,25.0,23.0,27.0,1.1268833125040054,6.593063779457924
332,66.0,32.0,27.0,33.0,0.911206343261503,9.061
333,66.0,39.0,33.0,43.0,4.985987264323887,13.305962009565485
